电影名,英文名,又名,导演/主演,年份/国别/类型,评论人数,评分
天堂电影院,/?Nuovo Cinema Paradiso,/?星光伴我心(港)  /  新天堂乐园(台),导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 安东娜拉·塔莉 Antonel...,1988?/?意大利 法国?/?剧情 爱情,359270人评价,9.1
蝙蝠侠：黑暗骑士,/?The Dark Knight,/?蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 克里斯蒂安·贝尔 Christ...,2008?/?美国 英国?/?剧情 动作 科幻 犯罪 惊悚,417596人评价,9.1
活着,/?人生  /  Lifetimes,/?12怒汉  /  十二怒汉,导演: 张艺谋 Yimou Zhang???主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994?/?中国大陆 香港?/?剧情 历史 家庭,345879人评价,9.1
十二怒汉,/?12 Angry Men,/?少年Pi的奇幻漂流  /  漂流少年Pi,导演: Sidney Lumet???主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957?/?美国?/?剧情,208939人评价,9.4
鬼子来了,/?Devils on the Doorstep,/?魔戒三部曲：王者再临(台 / 港),导演: 姜文 Wen Jiang???主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000?/?中国大陆?/?剧情 历史 战争,290058人评价,9.2
少年派的奇幻漂流,/?Life of Pi,/?搏击会(港)  /  斗阵俱乐部(台),导演: 李安 Ang Lee???主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012?/?美国 台湾 英国 加拿大?/?剧情 奇幻 冒险,701110人评价,9
指环王3：王者无敌,/?The Lord of the Rings: The Return of the King,/?Tenk? no shiro Rapyuta  /  Laputa: Castle in the Sky,导演: 彼得·杰克逊 Peter Jackson???主演: 维果·莫腾森 Viggo Mortensen / ...,2003?/?美国 新西兰?/?剧情 动作 奇幻 冒险,346507人评价,9.1
搏击俱乐部,/?Fight Club,/?雄才伟略  /  情妇,导演: 大卫·芬奇 David Fincher???主演: 爱德华·诺顿 Edward Norton / 布拉...,1999?/?美国 德国?/?剧情 动作 悬疑 惊悚,462522人评价,9
天空之城,/?天空の城ラピュタ,/?冲天救兵(港)  /  天外奇迹(台),导演: 宫崎骏 Hayao Miyazaki???主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986?/?日本?/?动画 奇幻 冒险,403720人评价,9
控方证人,/?Witness for the Prosecution,/?西游记101回月光宝盒  /  齐天大圣东游记,导演: 比利·怀尔德 Billy Wilder???主演: 查尔斯·劳顿 Charles Laughton / ...,1957?/?美国?/?剧情 犯罪 悬疑,136759人评价,9.6
飞屋环游记,/?Up,/?金枝玉叶(港)  /  罗马假期(台),导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson???主演: 爱德...,2009?/?美国?/?剧情 喜剧 动画 冒险,614960人评价,8.9
大话西游之月光宝盒,/?西遊記第壹佰零壹回之月光寶盒,/?他人的生活  /  别人的生活,导演: 刘镇伟 Jeffrey Lau???主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995?/?香港 中国大陆?/?喜剧 爱情 奇幻 冒险,510152人评价,8.9
罗马假日,/?Roman Holiday,/?够姜四小强(港)  /  两根枪管(台),导演: 威廉·惠勒 William Wyler???主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953?/?美国?/?喜剧 剧情 爱情,467679人评价,9
窃听风暴,/?Das Leben der Anderen,/?我和我的冠军女儿(台)  /  打死不离3父女(港),导演: 弗洛里安·亨克尔·冯·多纳斯马 Florian Henckel von Donnersmarck???...,2006?/?德国?/?剧情 悬疑,275572人评价,9.1
两杆大烟枪,"/?Lock, Stock and Two Smoking Barrels",/?飞越杜鹃窝(台)  /  飞越喜鹊巢,导演: Guy Ritchie???主演: Jason Flemyng / Dexter Fletcher / Nick Moran,1998?/?英国?/?剧情 喜剧 犯罪,317887人评价,9.1
摔跤吧！爸爸,/?Dangal,/?女人香  /  女人的芳香,导演: 涅提·蒂瓦里 Nitesh Tiwari???主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016?/?印度?/?剧情 传记 运动 家庭,610948人评价,9.1
飞越疯人院,/?One Flew Over the Cuckoo's Nest,/?呼啸山城  /  霍尔的移动城堡,导演: 米洛斯·福尔曼 Milo? Forman???主演: 杰克·尼科尔森 Jack Nichols...,1975?/?美国?/?剧情,321494人评价,9
闻香识女人,/?Scent of a Woman,/?逆权大状(港)  /  正义辩护人(台),导演: 马丁·布莱斯 Martin Brest???主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992?/?美国?/?剧情,395929人评价,9
哈尔的移动城堡,/?ハウルの動く城,/?暴雨骄阳(港)  /  春风化雨(台),导演: 宫崎骏 Hayao Miyazaki???主演: 倍赏千惠子 Chieko Baish? / 木村拓...,2004?/?日本?/?动画 奇幻 冒险,435770人评价,8.9
辩护人,/????,/?V煞(港)  /  V怪客(台),导演: 杨宇硕 Woo-seok Yang???主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...,2013?/?韩国?/?剧情,272381人评价,9.2
死亡诗社,/?Dead Poets Society,/?血色海湾(台)  /  海湾,导演: 彼得·威尔 Peter Weir???主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989?/?美国?/?剧情,340351人评价,9
V字仇杀队,/?V for Vendetta,/?教父续集  /  教父II,导演: 詹姆斯·麦克特格 James McTeigue???主演: 娜塔莉·波特曼 Natalie Por...,2005?/?美国 英国 德国?/?剧情 动作 科幻 惊悚,513490人评价,8.8
